name="World" type="Node3D" unique_id=2030415537
name="CollisionShape3D29" type="CollisionShape3D" parent="Home/Home" unique_id=2093974385
name="House_Demo_029" type="MeshInstance3D" parent="Home/Home" unique_id=1452949512
name="CollisionShape3D30" type="CollisionShape3D" parent="Home/Home" unique_id=920813043
name="House_Demo_030" type="MeshInstance3D" parent="Home/Home" unique_id=45037039
name="CollisionShape3D31" type="CollisionShape3D" parent="Home/Home" unique_id=128186342
name="House_Demo_031" type="MeshInstance3D" parent="Home/Home" unique_id=585666924
name="CollisionShape3D32" type="CollisionShape3D" parent="Home/Home" unique_id=665652067
name="House_Demo_032" type="MeshInstance3D" parent="Home/Home" unique_id=3748958
name="CollisionShape3D33" type="CollisionShape3D" parent="Home/Home" unique_id=1789867200
name="House_Demo_033" type="MeshInstance3D" parent="Home/Home" unique_id=2145009757
name="CollisionShape3D34" type="CollisionShape3D" parent="Home/Home" unique_id=1787407213
name="House_Demo_034" type="MeshInstance3D" parent="Home/Home" unique_id=2026929923
name="CollisionShape3D35" type="CollisionShape3D" parent="Home/Home" unique_id=1823548969
name="House_Demo_035" type="MeshInstance3D" parent="Home/Home" unique_id=1915406239
name="CollisionShape3D36" type="CollisionShape3D" parent="Home/Home" unique_id=1285795101
name="House_Demo_036" type="MeshInstance3D" parent="Home/Home" unique_id=1492169720
name="CollisionShape3D37" type="CollisionShape3D" parent="Home/Home" unique_id=1524301620
name="House_Demo_037" type="MeshInstance3D" parent="Home/Home" unique_id=1680553630
name="CollisionShape3D38" type="CollisionShape3D" parent="Home/Home" unique_id=877058852
name="House_Demo_038" type="MeshInstance3D" parent="Home/Home" unique_id=102071787
name="CollisionShape3D39" type="CollisionShape3D" parent="Home/Home" unique_id=1282682507
name="Grandpa" type="Node3D" parent="Home" unique_id=876349389
name="Area3D" type="Area3D" parent="Home/Grandpa" unique_id=397706188
name="CollisionShape3D" type="CollisionShape3D" parent="Home/Grandpa/Area3D" unique_id=1896669255
name="Label3D" type="Label3D" parent="Home/Grandpa/Area3D" unique_id=558626122
name="Model" type="Node3D" parent="Home/Grandpa/Area3D" unique_id=513050396
name="Skeleton3D" type="Skeleton3D" parent="Home/Grandpa/Area3D/Model" unique_id=194311976
name="Character_30" type="MeshInstance3D" parent="Home/Grandpa/Area3D/Model/Skeleton3D" unique_id=210780626
name="AnimationPlayer" type="AnimationPlayer" parent="Home/Grandpa/Area3D/Model" unique_id=2070191866
name="DialoguePanel" type="Panel" parent="Home/Grandpa" unique_id=1754686180
name="DialogueLabel" type="Label" parent="Home/Grandpa/DialoguePanel" unique_id=1803433482
name="ContinueButton" type="Button" parent="Home/Grandpa/DialoguePanel" unique_id=648365470
name="Postkasse" type="Node3D" parent="Home" unique_id=1488282949
name="Label3D" type="Label3D" parent="Home/Postkasse" unique_id=38439225
name="CSGBox3D" type="CSGBox3D" parent="Home/Postkasse" unique_id=979879507
name="CSGBox3D2" type="CSGBox3D" parent="Home/Postkasse" unique_id=359077438
name="CSGBox3D" type="CSGBox3D" parent="Home" unique_id=1997479711
name="Label3D" type="Label3D" parent="Home/CSGBox3D" unique_id=911098955
name="Label3D2" type="Label3D" parent="Home/CSGBox3D" unique_id=1141766460
name="CSGBox3D2" type="CSGBox3D" parent="Home" unique_id=2034371183
name="MeshInstance3D" type="MeshInstance3D" parent="Home/CSGBox3D2" unique_id=1102531409
name="OmniLight3D" type="OmniLight3D" parent="Home" unique_id=2044785616
name="PlayerCharacter" parent="." unique_id=34579835 instance=ExtResource("2_l5n4a")
name="Store3m" parent="." unique_id=1324088721 instance=ExtResource("50_store3m")
name="ScholarshipTerminal" parent="." unique_id=1783519547 instance=ExtResource("38_schterm")
name="Bankmann" type="Node3D" parent="." unique_id=22045030
name="Area3D" type="Area3D" parent="Bankmann" unique_id=23365126
name="CollisionShape3D" type="CollisionShape3D" parent="Bankmann/Area3D" unique_id=1514158372
name="Label3D" type="Label3D" parent="Bankmann/Area3D" unique_id=131177074
name="Character_05" parent="Bankmann/Area3D" unique_id=1027231625 instance=ExtResource("7_qgu8r")
name="DialoguePanel" type="Panel" parent="Bankmann" unique_id=206620906
name="DialogueLabel" type="Label" parent="Bankmann/DialoguePanel" unique_id=955867862
name="ContinueButton" type="Button" parent="Bankmann/DialoguePanel" unique_id=921536660
name="LaaneKassa" type="Node3D" parent="." unique_id=1661128203
name="Area3D" type="Area3D" parent="LaaneKassa" unique_id=1297330081
name="CollisionShape3D" type="CollisionShape3D" parent="LaaneKassa/Area3D" unique_id=198731630
name="Label3D" type="Label3D" parent="LaaneKassa/Area3D" unique_id=1724535552
name="Character_05" parent="LaaneKassa/Area3D" unique_id=519626293 instance=ExtResource("7_qgu8r")
name="DialoguePanel" type="Panel" parent="LaaneKassa" unique_id=1677370778
name="DialogueLabel" type="Label" parent="LaaneKassa/DialoguePanel" unique_id=542819286
name="ContinueButton" type="Button" parent="LaaneKassa/DialoguePanel" unique_id=1764007522
name="Node3D" type="Node3D" parent="." unique_id=369563584
name="HitableBox" parent="Node3D" unique_id=973188910 instance=ExtResource("41_c7jfs")
name="HitableBox2" parent="Node3D" unique_id=594394849 instance=ExtResource("41_c7jfs")
name="HitableBox3" parent="Node3D" unique_id=1652984245 instance=ExtResource("41_c7jfs")
name="HitableBox4" parent="Node3D" unique_id=97864817 instance=ExtResource("41_c7jfs")
name="HitableBox5" parent="Node3D" unique_id=1668918113 instance=ExtResource("41_c7jfs")
name="HitableBox6" parent="Node3D" unique_id=153922998 instance=ExtResource("41_c7jfs")
name="HitableBox7" parent="Node3D" unique_id=746385142 instance=ExtResource("41_c7jfs")
name="HitableBox8" parent="Node3D" unique_id=1914682448 instance=ExtResource("41_c7jfs")
name="HitableBox9" parent="Node3D" unique_id=286735467 instance=ExtResource("41_c7jfs")
name="HitableBox10" parent="Node3D" unique_id=1484731408 instance=ExtResource("41_c7jfs")
name="HitableBox11" parent="Node3D" unique_id=316000771 instance=ExtResource("41_c7jfs")
name="HitableBox12" parent="Node3D" unique_id=1502608633 instance=ExtResource("41_c7jfs")
name="HitableBox13" parent="Node3D" unique_id=939585070 instance=ExtResource("41_c7jfs")
name="HitableBox14" parent="Node3D" unique_id=230614246 instance=ExtResource("41_c7jfs")
name="HitableBox15" parent="Node3D" unique_id=1372302264 instance=ExtResource("41_c7jfs")
name="HitableBox16" parent="Node3D" unique_id=2066072860 instance=ExtResource("41_c7jfs")
name="HitableBox17" parent="Node3D" unique_id=672524537 instance=ExtResource("41_c7jfs")
name="HitableBox18" parent="Node3D" unique_id=856069169 instance=ExtResource("41_c7jfs")
name="HitableBox19" parent="Node3D" unique_id=1522376476 instance=ExtResource("41_c7jfs")
name="HitableBox20" parent="Node3D" unique_id=1081004833 instance=ExtResource("41_c7jfs")
name="HitableBox21" parent="Node3D" unique_id=1573076631 instance=ExtResource("41_c7jfs")
name="HitableBox22" parent="Node3D" unique_id=469661810 instance=ExtResource("41_c7jfs")
name="HitableBox23" parent="Node3D" unique_id=660377445 instance=ExtResource("41_c7jfs")
name="HitableBox24" parent="Node3D" unique_id=1090027410 instance=ExtResource("41_c7jfs")
name="Node3D2" type="Node3D" parent="." unique_id=1717986356
name="HitableBox" parent="Node3D2" unique_id=1380317272 instance=ExtResource("41_c7jfs")
name="HitableBox2" parent="Node3D2" unique_id=460284435 instance=ExtResource("41_c7jfs")
name="HitableBox3" parent="Node3D2" unique_id=1621646018 instance=ExtResource("41_c7jfs")
name="HitableBox4" parent="Node3D2" unique_id=745151344 instance=ExtResource("41_c7jfs")
name="HitableBox5" parent="Node3D2" unique_id=1814641311 instance=ExtResource("41_c7jfs")
name="HitableBox6" parent="Node3D2" unique_id=2129467704 instance=ExtResource("41_c7jfs")
name="HitableBox7" parent="Node3D2" unique_id=397332070 instance=ExtResource("41_c7jfs")
name="HitableBox8" parent="Node3D2" unique_id=895768480 instance=ExtResource("41_c7jfs")
name="HitableBox9" parent="Node3D2" unique_id=781049997 instance=ExtResource("41_c7jfs")
name="HitableBox10" parent="Node3D2" unique_id=1632129454 instance=ExtResource("41_c7jfs")
name="HitableBox11" parent="Node3D2" unique_id=568466507 instance=ExtResource("41_c7jfs")
name="HitableBox12" parent="Node3D2" unique_id=1823543860 instance=ExtResource("41_c7jfs")
name="HitableBox13" parent="Node3D2" unique_id=1527361899 instance=ExtResource("41_c7jfs")
name="HitableBox14" parent="Node3D2" unique_id=791700235 instance=ExtResource("41_c7jfs")
name="HitableBox15" parent="Node3D2" unique_id=804325218 instance=ExtResource("41_c7jfs")
name="HitableBox16" parent="Node3D2" unique_id=752074294 instance=ExtResource("41_c7jfs")
name="HitableBox17" parent="Node3D2" unique_id=1275333330 instance=ExtResource("41_c7jfs")
name="HitableBox18" parent="Node3D2" unique_id=313416952 instance=ExtResource("41_c7jfs")
name="HitableBox19" parent="Node3D2" unique_id=818244855 instance=ExtResource("41_c7jfs")
name="HitableBox20" parent="Node3D2" unique_id=1633020681 instance=ExtResource("41_c7jfs")
name="HitableBox21" parent="Node3D2" unique_id=144040008 instance=ExtResource("41_c7jfs")
name="HitableBox22" parent="Node3D2" unique_id=1694305346 instance=ExtResource("41_c7jfs")
name="HitableBox23" parent="Node3D2" unique_id=769333128 instance=ExtResource("41_c7jfs")
name="HitableBox24" parent="Node3D2" unique_id=585528586 instance=ExtResource("41_c7jfs")
